100,2012,350,900,14.13,-4.996,23.01,20.2,-6.496,20.31,22.2,-4.996,23.01,11.5,-4.996,23.01,17.7,-4.996,23.01,123.4,-4.996,23.01,-2.6,-4.996,23.01,11.8,-6.492,20.32,15,-6999,-6999,0,-6999,-6999,0
100,2012,350,1000,14.12,-4.5,23.9,19.9,-6,21.2,22.1,-4.5,23.9,11.4,-4.5,23.9,17.7,-4.5,23.9,13.2,-4.5,23.9,-3.3,-4.5,23.9,11.7,-5.504,22.09,15.1,-6999,-6999,0,-6999,-6999,0
100,2012,350,1100,14.12,-4.504,23.89,20.1,-6,21.2,21.9,-4.5,23.9,11.4,-4.504,23.89,17.6,-4.504,23.89,13.3,-4.504,23.89,-3.4,-4.5,23.9,11.5,-6,21.2,15.1,-6999,-6999,0,-6999,-6999,0
100,2012,350,1200,14.12,-4.992,23.01,20,-5.996,21.21,21.9,-4.496,23.91,11.3,-4.992,23.01,17.7,-4.992,23.01,13.5,-4.992,23.01,-3.6,-4.496,23.91,11.7,-5.992,21.21,14.7,-6999,-6999,0,-6999,-6999,0
100,2012,350,1300,14.1,-4,24.8,19.7,-5.5,22.1,21.7,-4,24.8,11.2,-4,24.8,17.7,-4,24.8,13,-4,24.8,-3.3,-4,24.8,11.5,-5.004,22.99,15,-6999,-6999,0,-6999,-6999,0
100,2012,350,1400,14.1,-4.008,24.79,20.1,-5.504,22.09,21.9,-4.004,24.79,11.2,-4.008,24.79,181,-4.004,24.79,13.2,-4.008,24.79,-3.2,-4.004,24.79,11.5,-5.504,22.09,14.7,-6999,-6999,0,-6999,-6999,0
100,2012,350,1500,14.1,-5,23,19.6,-6.004,21.19,21.6,-4.504,23.89,11.2,-5.004,22.99,182.7,-4.504,23.89,123.7,-5.004,22.99,-3.1,-4.504,23.89,11.5,-6.004,21.19,14.9,-6999,-6999,0,-6999,-6999,0
100,2012,350,1600,14.12,-5.004,22.99,19.3,-6.504,20.29,21.6,-5.004,22.99,11.3,-5.5,22.1,182.7,-5.004,22.99,131.8,-5.5,22.1,-3.1,-5.004,22.99,11.4,-6.504,20.29,14.8,-6999,-6999,0,-6999,-6999,0
100,2012,350,1700,14.13,-5.512,22.08,18.9,-7.01,19.38,21.7,-5.512,22.08,10.1,-5.512,22.08,181.8,-5.512,22.08,121.2,-5.512,22.08,-3.9,-5.508,22.09,11.4,-7.01,19.38,14.2,-6999,-6999,0,-6999,-6999,0
100,2012,350,1800,14.15,-7,19.39,19.1,-8.5,16.69,21.6,-7,19.39,9.6,-7,19.39,17.3,-7,19.39,12.6,-7,19.39,-6.4,-6.508,20.29,11.4,-8.5,16.69,14.1,-6999,-6999,0,-6999,-6999,0
100,2012,350,1900,14.17,-7.5,18.5,19.1,-9,15.8,21.4,-7.5,18.5,9.9,-7.5,18.5,17.3,-7.5,18.5,123.6,-7.5,18.5,-6.6,-7.5,18.5,11.1,-9,15.8,14.1,-6999,-6999,0,-6999,-6999,0
100,2012,350,2000,14.18,-7.5,18.5,19.1,-9,15.8,21.4,-7.5,18.5,9.6,-7.5,18.49,17.5,-7.5,18.5,123.1,-7.5,18.5,-7,-7.5,18.5,11.1,-9,15.8,14.1,-6999,-6999,0,-6999,-6999,0
100,2012,350,2100,14.19,-7.5,18.49,19,-9,15.79,21.1,-7.5,18.49,9.5,-8,17.6,16.9,-7.5,18.49,12.8,-7.5,18.49,-6.9,-7.5,18.49,11.4,-9,15.79,14.3,-6999,-6999,0,-6999,-6999,0
100,2012,350,2200,14.2,-8,17.6,19,-9.5,14.9,21.1,-8,17.6,9.8,-8,17.59,16.9,-8,17.6,12.8,-8,17.59,-7.2,-8,17.6,11.2,-9.5,14.9,14.3,-6999,-6999,0,-6999,-6999,0
100,2012,350,2300,14.21,-8.01,17.58,18.9,-9.51,14.89,21.2,-8,17.59,9.7,-8.5,16.69,16.8,-8.01,17.58,12.6,-8.5,16.69,-7,-8.01,17.58,11.3,-9.51,14.89,14.6,-6999,-6999,0,-6999,-6999,0
100,2012,350,2400,14.22,-9,15.8,18.4,-10.5,13.1,21.2,-8.5,16.69,10.4,-9,15.8,17,-9,15.8,12.6,-9,15.8,-7.3,-9,15.8,11.3,-10.5,13.1,14.6,-6999,-6999,0,-6999,-6999,0
100,2012,351,100,14.24,-9,15.8,18.4,-10.5,13.1,21.5,-9,15.8,10.6,-9,15.8,16.7,-9,15.8,13,-9,15.8,-6.2,-9,15.8,11.2,-10.5,13.1,14.6,-6999,-6999,0,-6999,-6999,0
100,2012,351,200,14.25,-9,15.8,18.4,-10.5,13.1,21.4,-9,15.8,10.9,-9,15.8,16.4,-9,15.8,12.6,-9,15.8,-5.1,-9,15.8,11.3,-10.5,13.1,14.6,-6999,-6999,0,-6999,-6999,0
100,2012,351,300,14.26,-9,15.8,17.6,-10.5,13.1,21.4,-9,15.81,10.8,-9,15.8,16.5,-9,15.81,12.9,-9,15.81,-4.1,-9,15.81,11.1,-10.5,13.11,14.5,-6999,-6999,0,-6999,-6999,0
100,2012,351,400,14.25,-9,15.8,17.6,-10.5,13.1,21.5,-8.5,16.69,11,-9,15.8,16,-8.5,16.69,123.7,-8.5,16.69,-3.5,-8.5,16.69,11.2,-10,13.99,14.6,-6999,-6999,0,-6999,-6999,0
100,2012,351,500,14.26,-9,15.8,16.6,-10.5,13.1,21.4,-9,15.8,10.9,-9,15.8,14.3,-9,15.8,13,-9,15.8,-4.3,-9,15.8,11.3,-10.5,13.1,13.2,-6999,-6999,0,-6999,-6999,0
100,2012,351,600,14.25,-9,15.79,16.8,-10.5,13.1,21.4,-9,15.8,10.9,-9,15.79,8.8,-9,15.8,12.6,-9,15.79,-4.1,-9,15.8,11.2,-10.5,13.1,13.2,-6999,-6999,0,-6999,-6999,0
